index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
1,bavdhan,1.0,492.0,3.9000000000000004,shapoorji paloonji,vanaha,yes,yes,yes,yes,yes,yes,yes
2,bavdhan,2.0,774.0,6.5,shapoorji paloonji,vanaha,yes,yes,yes,yes,yes,yes,yes
3,bavdhan,3.0,889.0,7.4,shapoorji paloonji,vanaha,yes,yes,yes,yes,yes,yes,yes
4,bavdhan,3.0,1018.0,8.9,shapoorji paloonji,vanaha,yes,yes,yes,yes,yes,yes,yes
5,mahalunge,2.0,743.0,7.4,godrej properties,godrej hills retreat,yes,yes,yes,yes,yes,yes,yes
6,mahalunge,3.0,975.0,9.5,godrej properties,godrej hills retreat,yes,yes,yes,yes,yes,yes,yes
7,balewadi,2.0,894.5,7.5,anp corp,anp universe,yes,no,no,no,yes,yes,yes
8,balewadi,3.0,1174.5,10.0,anp corp,anp universe,yes,no,no,no,yes,yes,yes
9,ravet,2.0,905.0,6.5,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
10,ravet,3.0,1125.0,8.8,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
11,ravet,4.0,1644.0,13.5,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
12,ravet,5.0,2220.0,18.8,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
13,ravet,6.0,2220.0,18.8,urban space creator,urban skyline,yes,no,no,no,yes,yes,yes
14,baner,2.0,753.5,5.800000000000001,vtp reality,vtp cierra,yes,no,no,no,yes,yes,yes
15,baner,3.0,1051.0,9.5,vtp reality,vtp cierra,yes,no,no,no,yes,yes,yes
16,mahalunge,1.0,423.0,4.0,vtp reality,vtp blue water,yes,no,no,no,yes,yes,yes
17,mahalunge,2.0,665.0,5.800000000000001,vtp reality,vtp blue water,yes,no,no,no,yes,yes,yes
18,mahalunge,3.0,878.5,7.800000000000001,vtp reality,vtp blue water,yes,no,no,no,yes,yes,yes
19,ravet,1.0,462.0,3.6,waghvani constructions,om mangalam chaitanya,yes,no,no,no,yes,yes,yes
20,ravet,2.0,666.0,4.800000000000001,waghvani constructions,om mangalam chaitanya,yes,no,no,no,yes,yes,yes
21,ravet,2.0,750.0,5.7,sukwani associates,sukwani aspire,yes,no,no,no,yes,yes,yes
22,ravet,3.0,1030.0,7.9,sukwani associates,sukwani aspire,yes,no,no,no,yes,yes,yes
23,kharadi,1.0,446.0,3.7,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
24,kharadi,2.0,796.0,5.7,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
25,kharadi,2.0,842.0,5.9,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
26,kharadi,2.0,865.0,6.1000000000000005,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
27,kharadi,2.0,902.0,6.300000000000001,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
28,kharadi,2.0,1154.0,7.9,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
29,kharadi,3.0,872.0,6.1000000000000005,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
30,kharadi,3.0,934.0,6.5,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
31,kharadi,3.0,1088.0,7.300000000000001,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
32,kharadi,3.0,1109.0,7.6000000000000005,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
33,kharadi,3.0,1163.0,8.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
34,kharadi,3.0,1419.0,9.600000000000001,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
35,kharadi,3.0,1485.0,10.0,mantra properties,mantra 29 gold,yes,no,no,no,yes,no,yes
36,balewadi,2.0,684.0,7.0,mantra properties,mantra monarch,yes,no,no,no,yes,yes,yes
37,balewadi,3.0,990.0,9.0,mantra properties,mantra monarch,yes,no,no,no,yes,yes,yes
38,koregaon park,2.0,882.0,9.700000000000001,mantra properties,infinity,yes,no,no,no,yes,yes,yes
39,koregaon park,3.0,1103.0,12.0,mantra properties,infinity,yes,no,no,no,yes,yes,yes
40,keshav nagar,1.0,543.0,4.2,mantra properties,mantra insignia,yes,no,no,no,yes,yes,yes
41,keshav nagar,2.0,963.0,5.7,mantra properties,mantra insignia,yes,no,no,no,yes,yes,yes
43,kirkatwadi sinhagad road,1.0,320.0,1.4000000000000001,mantra properties,7hills,yes,no,no,no,yes,yes,yes
44,kirkatwadi sinhagad road,2.0,473.0,2.2,mantra properties,7hills,yes,no,no,no,yes,yes,yes
45,kirkatwadi sinhagad road,3.0,581.0,2.6,mantra properties,7hills,yes,no,no,no,yes,yes,yes
46,akurdi,2.0,790.0,8.0,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
47,akurdi,2.0,820.0,8.3,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
48,akurdi,3.0,989.0,10.100000000000001,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
49,akurdi,3.0,1003.0,10.3,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
50,akurdi,3.0,1182.0,12.8,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
51,akurdi,5.0,1579.0,16.3,mantra properties,mantra sky tower,yes,no,no,no,yes,yes,yes
52,pimpri pune,0.0,163.0,5.4,ravima ventures,the work club,no,no,no,no,yes,no,yes
53,tathawade,1.0,491.0,3.9000000000000004,ravima ventures,newton homes,no,no,no,no,yes,no,yes
54,tathawade,2.0,659.0,5.1000000000000005,ravima ventures,newton homes,no,no,no,no,yes,no,yes
55,tathawade,2.0,732.0,6.0,ravima ventures,newton homes,no,no,no,no,yes,no,yes
56,tathawade,3.0,809.0,6.6000000000000005,ravima ventures,newton homes,no,no,no,no,no,no,yes
57,hadapsar,1.0,460.0,4.55,proviso group,lesiure town,no,no,no,no,yes,yes,yes
58,hadapsar,2.0,734.0,7.25,proviso group,lesiure town,no,no,no,no,yes,yes,yes
